##########################################################################################
################################ Unigram Term Frequency Table ############################
##########################################################################################


   TERM                         |      TERM FREQUENCY
   reflector                    |         14
   reconstructed                |         14
   realistic                    |         14
   radians                      |         14
   queens                       |         14
   putin                        |         14
   pushing                      |         14
   punishment                   |         14
   pumped                       |         14
   psychology                   |         14
   provisions                   |         14
   proton-proton                |         14
   protestants                  |         14
   prosperity                   |         14
   prohibited                   |         14
   prism                        |         14
   prints                       |         14
   pressing                     |         14
   preserving                   |         14
   prepare                      |         14
   potentials                   |         14
   potentiality                 |         14
   post-newtonian               |         14
   portable                     |         14
   poorly                       |         14
   poleis                       |         14
   plume                        |         14
   pit                          |         14
   physicians                   |         14
   photoreceptor                |         14
   perceptions                  |         14
   peloponnesian                |         14
   payments                     |         14
   patriotic                    |         14
   partnerships                 |         14
   parametric                   |         14
   pad                          |         14
   outermost                    |         14
   onset                        |         14
   on-board                     |         14
   obscuration                  |         14
   nutrients                    |         14
   nunavut                      |         14
   ns                           |         14
   nikolay                      |         14
   nikola                       |         14
   nigeria                      |         14
   ngc                          |         14
   neighborhood                 |         14
   necessity                    |         14
   mutually                     |         14
   muse                         |         14
   murdoch                      |         14
   motivation                   |         14
   mosaic                       |         14
   morphology                   |         14
   moreton                      |         14
   moonbase                     |         14
   montenegrin                  |         14
   mongolia                     |         14
   mig-21bis                    |         14
   micrometeorite               |         14
   metallicity                  |         14
   maven                        |         14
   masterpieces                 |         14
   massacred                    |         14
   masculine                    |         14
   manages                      |         14
   manage                       |         14
   maine                        |         14
   magnification                |         14
   luxembourgish                |         14
   lutheran                     |         14
   long-distance                |         14
   logistics                    |         14
   lockheed                     |         14
   lions                        |         14
   lingua                       |         14
   lent                         |         14
   legendary                    |         14
   leather                      |         14
   leak                         |         14
   laos                         |         14
   lamps                        |         14
   laconia                      |         14
   lacking                      |         14
   laboratories                 |         14
   krai                         |         14
   kamchatka                    |         14
   jump                         |         14
   jinnah                       |         14
   iteration                    |         14
   isro                         |         14
   israelite                    |         14
   isidore                      |         14
   iridium                      |         14
   investigating                |         14
   invariance                   |         14
   invaders                     |         14
   injured                      |         14
   inherent                     |         14
   individually                 |         14
   incorporating                |         14
   inc                          |         14
   inaugurated                  |         14
   inadequate                   |         14
   imaged                       |         14
   illustration                 |         14
   ian                          |         14
   horses                       |         14
   hoplites                     |         14
   honorary                     |         14
   hjki                         |         14
   hf                           |         14
   hellespont                   |         14
   helical                      |         14
   heggessey                    |         14
   hazardous                    |         14
   hardly                       |         14
   halys                        |         14
   guided                       |         14
   governorates                 |         14
   governmental                 |         14
   glowing                      |         14
   ghana                        |         14
   geophysical                  |         14
   generalization               |         14
   gare                         |         14
   gaelic                       |         14
   fur                          |         14
   fresnel                      |         14
   fracture                     |         14
   fovea                        |         14
   flybys                       |         14
   fleeing                      |         14
   flamsteed                    |         14
   flagship                     |         14
   firms                        |         14
   fires                        |         14
   filmmakers                   |         14
   filming                      |         14
   feeling                      |         14
   fascist                      |         14
   falmouth                     |         14
   falkland                     |         14
   fabric                       |         14
   explosions                   |         14
   explicit                     |         14
   expert                       |         14
   experimentation              |         14
   expenditures                 |         14
   exoplanets                   |         14
   exhibitions                  |         14
   exceptionally                |         14
   excavated                    |         14
   examining                    |         14
   everyone                     |         14
   evenly                       |         14
   evacuated                    |         14
   ev                           |         14
   etruscan                     |         14
   essence                      |         14
   escaping                     |         14
   entente                      |         14
   enriched                     |         14
   eighteen                     |         14
   earthly                      |         14
   earth-based                  |         14
   drilling                     |         14
   drained                      |         14
   downward                     |         14
   disturbed                    |         14
   distribute                   |         14
   disrupt                      |         14
   dispersion                   |         14
   discussing                   |         14
   discover                     |         14
   discontinued                 |         14
   directorate                  |         14
   differently                  |         14
   differed                     |         14
   diatomic                     |         14
   diagrams                     |         14
   diagonal                     |         14
   destiny                      |         14
   depths                       |         14
   demolished                   |         14
   democrat                     |         14
   deliveries                   |         14
   deflected                    |         14
   defects                      |         14
   defeating                    |         14
   debates                      |         14
   dalmatia                     |         14
   daguerres                    |         14
   cyaxares                     |         14
   curves                       |         14
   cuban                        |         14
   crop                         |         14
   crescents                    |         14
   costumes                     |         14
   cosmonaut                    |         14
   continuity                   |         14
   consonant                    |         14
   consciousness                |         14
   conjecture                   |         14
   conductors                   |         14
   conditioning                 |         14
   conclusions                  |         14
   concluding                   |         14
   conceptual                   |         14
   compton                      |         14
   colliding                    |         14
   colleges                     |         14
   collector                    |         14
   coil                         |         14
   cognate                      |         14
   chronological                |         14
   choir                        |         14
   chaos                        |         14
   cephei                       |         14
   cents                        |         14
   centimetres                  |         14
   celebrations                 |         14
   cbbc                         |         14
   catastrophe                  |         14
   cataclysmic                  |         14
   carved                       |         14
   carpathian                   |         14
   canopy                       |         14
   cancellation                 |         14
   byzantines                   |         14
   brunswick                    |         14
   brass                        |         14
   brahe                        |         14
   boxing                       |         14
   blessing                     |         14
   blackbody                    |         14
   believes                     |         14
   belgiums                     |         14
   beat                         |         14
   bavaria                      |         14
   barriers                     |         14
   bare                         |         14
   avoiding                     |         14
   avenue                       |         14
   attacking                    |         14
   atheism                      |         14
   astrophysicist               |         14
   astp                         |         14
   assassination                |         14
   arguing                      |         14
   aps                          |         14
   answered                     |         14
   anna                         |         14
   andr                         |         14
   anderson                     |         14
   ampres                       |         14
   alter                        |         14
   ally                         |         14
   alliances                    |         14
   allegations                  |         14
   algorithm                    |         14
   alberta                      |         14
   airplane                     |         14
   agoge                        |         14
   agenda                       |         14
   aeroflots                    |         14
   adopt                        |         14
   adolf                        |         14
   adjust                       |         14
   actuality                    |         14
   abraham                      |         14
   abbasid                      |         14
   ab                           |         14
   8000                         |         14
   600000                       |         14
   343                          |         14
   337                          |         14
   336                          |         14
   334                          |         14
   2904                         |         14
   250000                       |         14
   2499                         |         14
   2394                         |         14
   2291                         |         14
   2232                         |         14
   2028                         |         14
   2.7                          |         14
   1902                         |         14
   18m                          |         14
   1869                         |         14
   1866                         |         14
   1853                         |         14
   1852                         |         14
   1840                         |         14
   1810                         |         14
   1624                         |         14
   1573                         |         14
   1562                         |         14
   1544                         |         14
   1532                         |         14
   1453                         |         14
   1352                         |         14
   100km                        |         14
   yielding                     |         13
   xiv                          |         13
   x-15                         |         13
   worst                        |         13
   wolfgang                     |         13
   wisdom                       |         13
   winners                      |         13
   willing                      |         13
   werner                       |         13
   weekend                      |         13
   wednesday                    |         13
   vowel                        |         13
   viscosity                    |         13
   violet                       |         13
   veteran                      |         13
   vertices                     |         13
   vertebrates                  |         13
   vertebrate                   |         13
   verde                        |         13
   unicameral                   |         13
   undergoing                   |         13
   unaided                      |         13
   ummo                         |         13
   tunneling                    |         13
   tug-of-war                   |         13
   tsunami                      |         13
   trouble                      |         13
   tristan                      |         13
   trek                         |         13
   traversed                    |         13
   tranquility                  |         13
   trailers                     |         13
   tournaments                  |         13
   tony                         |         13
   timur                        |         13
   thtre                        |         13
   thirds                       |         13
   thicker                      |         13
   thessaly                     |         13
   theatres                     |         13
   thai                         |         13
   th                           |         13
   textiles                     |         13
   testament                    |         13
   taiwan                       |         13
   syntax                       |         13
   symbolic                     |         13
   sworn                        |         13
   swiss                        |         13
   surrender                    |         13
   superposition                |         13
   sumerians                    |         13
   sukhoi                       |         13
   suicide                      |         13
   submerged                    |         13
   subatomic                    |         13
   stimulated                   |         13
   standardization              |         13
   squared                      |         13
   specially                    |         13
   spacewalks                   |         13
   spacewalk                    |         13
   souls                        |         13
   solo                         |         13
   small-scale                  |         13
   sm                           |         13
   sizeable                     |         13
   sizable                      |         13
   sinuous                      |         13
   singly                       |         13
   silicate                     |         13
   signatures                   |         13
   shop                         |         13
   shielded                     |         13
   separates                    |         13
   sentenced                    |         13
   secondly                     |         13
   sec                          |         13
   searches                     |         13
   seals                        |         13
   scots                        |         13
   schrdinger                   |         13
   sandy                        |         13
   sandwich                     |         13
   saint-pierre                 |         13
   sages                        |         13
   rubber                       |         13
   roy                          |         13
   rowing                       |         13
   roscosmos                    |         13
   riding                       |         13
   rhea                         |         13
   revived                      |         13
   reunification                |         13
   restriction                  |         13
   resonant                     |         13
   resembling                   |         13
   requests                     |         13
   requested                    |         13
   reproduce                    |         13
   repaired                     |         13
   renewables                   |         13
   rendering                    |         13
   rendered                     |         13
   regulatory                   |         13
   refining                     |         13
   recommendation               |         13
   receiver                     |         13
   realised                     |         13
   raids                        |         13
   radiated                     |         13
   radiate                      |         13
   quick                        |         13
   pyroxene                     |         13
   puts                         |         13
   purple                       |         13
   pumps                        |         13
   ptolemaic                    |         13
   protoplanetary               |         13
   protocol                     |         13
   protest                      |         13
   prophet                      |         13
   promising                    |         13
   prevention                   |         13
   prestigious                  |         13
   presentations                |         13
   premises                     |         13
   preference                   |         13
   prefer                       |         13
   predicting                   |         13
   precursor                    |         13
   precess                      |         13
   polymer                      |         13
   poincar                      |         13
   plumes                       |         13
   pits                         |         13
   pipelines                    |         13
   pipe                         |         13
   pink                         |         13
   picked                       |         13
   philharmonic                 |         13
   permission                   |         13
   pastry                       |         13
   parc                         |         13
   paramilitary                 |         13
   palaces                      |         13
   paint                        |         13
   packages                     |         13
   outlined                     |         13
   outbreak                     |         13
   os                           |         13
   orbitals                     |         13
   optimal                      |         13
   opens                        |         13
   onward                       |         13
   omitted                      |         13
   olivine                      |         13
   oh                           |         13
   odyssey                      |         13
   oceania                      |         13
   occurrences                  |         13
   ob                           |         13
   nozzle                       |         13
   nipces                       |         13
   nile                         |         13
   nikolai                      |         13
   neutrons                     |         13
   nepal                        |         13
   nectaris                     |         13
   nazis                        |         13
   mycale                       |         13
   morgan                       |         13
   monatomic                    |         13
   modernized                   |         13
   mistakes                     |         13
   mira                         |         13
   mike                         |         13
   migrate                      |         13
   mid-1990s                    |         13
   meteorological               |         13
   megawatts                    |         13
   mauritania                   |         13
   matching                     |         13
   matched                      |         13
   mask                         |         13
   mariner                      |         13
   maneuver                     |         13
   man-made                     |         13
   malfunction                  |         13
   majoris                      |         13
   magi                         |         13
   madeleine                    |         13
   limassol                     |         13
   ligo                         |         13
   li                           |         13
   lapse                        |         13
   landers                      |         13
   lagrange                     |         13
   lacked                       |         13
   korban                       |         13
   kilowatt                     |         13
   kg                           |         13
   jnos                         |         13
   jerry                        |         13
   japans                       |         13
   jackson                      |         13
   isil                         |         13
   isfahan                      |         13
   invested                     |         13
   inventors                    |         13
   intermolecular               |         13
   interferometer               |         13
   intelligent                  |         13
   integrating                  |         13
   injuries                     |         13
   inception                    |         13
   inappropriate                |         13
   inability                    |         13
   improving                    |         13
   imposing                     |         13
   implied                      |         13
   illyrian                     |         13
   illustrations                |         13
   ignore                       |         13
   hydroxyl                     |         13
   hosting                      |         13
   hired                        |         13
   hemispheres                  |         13
   heavenly                     |         13
   heathrows                    |         13
   happening                    |         13
   handful                      |         13
   halted                       |         13
   ha                           |         13
   guyana                       |         13
   guaranteed                   |         13
   guarantee                    |         13
   greco-roman                  |         13
   golan                        |         13
   genitive                     |         13
   gauss                        |         13
   ganges                       |         13
   furnaces                     |         13
   fumes                        |         13
   foucault                     |         13
   forty                        |         13
   fortified                    |         13
   formulas                     |         13
   foreigners                   |         13
   focuses                      |         13
   floods                       |         13
   flexible                     |         13
   firmly                       |         13
   filmmaking                   |         13
   ferrocene                    |         13
   fans                         |         13
   famously                     |         13
   fairy                        |         13
   fails                        |         13
   fail                         |         13
   exporting                    |         13
   exported                     |         13
   ethnicities                  |         13
   estate                       |         13
   es                           |         13
   erwin                        |         13
   eras                         |         13
   employee                     |         13
   emblem                       |         13
   emanating                    |         13
   eliminated                   |         13
   eligible                     |         13
   elam                         |         13
   editorship                   |         13
   editing                      |         13
   ed                           |         13
   drugs                        |         13
   dropping                     |         13
   dragons                      |         13
   drafted                      |         13
   dose                         |         13
   doric                        |         13
   domains                      |         13
   dogs                         |         13
   dissociation                 |         13
   diskette                     |         13
   dipolar                      |         13
   diminished                   |         13
   deviations                   |         13
   deviation                    |         13
   deuteronomy                  |         13
   designers                    |         13
   designer                     |         13
   descend                      |         13
   denomination                 |         13
   deficit                      |         13
   defect                       |         13
   dees                         |         13
   deepest                      |         13
   declaring                    |         13
   dardanelles                  |         13
   cygnus                       |         13
   curtain                      |         13
   cupola                       |         13
   cult                         |         13
   crewed                       |         13
   covenant                     |         13
   coupling                     |         13
   counterparts                 |         13
   correspondingly              |         13
   corpus                       |         13
   corn                         |         13
   continuation                 |         13
   confirming                   |         13
   computation                  |         13
   compliance                   |         13
   competitors                  |         13
   companions                   |         13
   commentary                   |         13
   commandservice               |         13
   cologne                      |         13
   cohesion                     |         13
   cod                          |         13
   clockwise                    |         13
   climb                        |         13
   classm                       |         13
   classifications              |         13
   chaotic                      |         13
   challenging                  |         13
   challenger                   |         13
   cernan                       |         13
   centralised                  |         13
   cemetery                     |         13
   catches                      |         13
   castles                      |         13
   captures                     |         13
   cambodia                     |         13
   caf                          |         13
   bush                         |         13
   burns                        |         13
   buran                        |         13
   brigade                      |         13
   breccias                     |         13
   bodys                        |         13
   blowing                      |         13
   biot                         |         13
   bibliographic                |         13
   ben                          |         13
   behaves                      |         13
   bandwidth                    |         13
   bah                          |         13
   axons                        |         13
   automobile                   |         13
   atop                         |         13
   ash                          |         13
   ascribed                     |         13
   artemisium                   |         13
   arcminutes                   |         13
   ar                           |         13
   approximated                 |         13
   appoints                     |         13
   ap                           |         13
   anthony                      |         13
   andreas                      |         13
   anders                       |         13
   ancestors                    |         13
   analyze                      |         13
   alkali                       |         13
   albania                      |         13
   al-assad                     |         13
   airplanes                    |         13
   airliners                    |         13
   affair                       |         13
   advertisements               |         13
   advancing                    |         13
   adjustment                   |         13
   addressed                    |         13
   additions                    |         13
   accessed                     |         13
   abu                          |         13
   abilities                    |         13
   aa                           |         13
   800000                       |         13
   750                          |         13
   70017                        |         13
   62mi                         |         13
   384                          |         13
   339                          |         13
   335                          |         13
   3.7                          |         13
   26th                         |         13
   2543                         |         13
   2373                         |         13
   2060                         |         13
   2.3                          |         13
   1894                         |         13
   1884                         |         13
   1858                         |         13
   1826                         |         13
   1802                         |         13
   1768                         |         13
   1715                         |         13
   1699                         |         13
   1613                         |         13
   1593                         |         13
   1435                         |         13
   1.9                          |         13
   zeus                         |         12
   zambia                       |         12
   ye                           |         12
   xe                           |         12
   wm                           |         12
   whitaker                     |         12
   wherein                      |         12
   westminster                  |         12
   welfare                      |         12
   weakening                    |         12
   waterways                    |         12
   wartime                      |         12
   wallachia                    |         12
   walked                       |         12
   voyages                      |         12
   volga                        |         12
   vibrational                  |         12
   venuss                       |         12
   venues                       |         12
   valued                       |         12
   utilization                  |         12
   unchanged                    |         12
   ufo                          |         12
   twelfth                      |         12
   turbojet                     |         12
   tundra                       |         12
   tt                           |         12
   tropics                      |         12
   trips                        |         12
   trials                       |         12
   treasury                     |         12
   translates                   |         12
   transferring                 |         12
   totaling                     |         12
   tithi                        |         12
   threatening                  |         12
   thesis                       |         12
   thermosphere                 |         12
   thereof                      |         12
   tethys                       |         12
   tertiary                     |         12
   tenuous                      |         12
   tenses                       |         12
   tender                       |         12
   tariff                       |         12
   systematically               |         12
   sydney                       |         12
   sweep                        |         12
   surrendered                  |         12
   supermassive                 |         12
   sumer                        |         12
   sumatra                      |         12
   suction                      |         12
   substitute                   |         12
   stripping                    |         12
   stocks                       |         12
   staged                       |         12
   stabilization                |         12
   ssm                          |         12
   squadrons                    |         12
   spun                         |         12
   spite                        |         12
   spheroid                     |         12
   specifying                   |         12
   spake                        |         12
   spacecrafts                  |         12
   sophia                       |         12
   sonic                        |         12
   smartphones                  |         12
   smartphone                   |         12
   ski                          |         12
   sitting                      |         12
   simplicity                   |         12
   silk                         |         12
   silica                       |         12
   shortened                    |         12
   shelter                      |         12
   sharply                      |         12
   shakespeare                  |         12
   seventeen                    |         12
   settling                     |         12
   serpo                        |         12
   selling                      |         12
   score                        |         12
   schmitt                      |         12
   schmidt                      |         12
   scenarios                    |         12
   scalar                       |         12
   sat                          |         12
   salary                       |         12
   rudder                       |         12
   rts1                         |         12
   rosario                      |         12
   rooftop                      |         12
   roll                         |         12
   rio                          |         12
   riccioli                     |         12
   rhythm                       |         12
   residing                     |         12
   renovation                   |         12
   renewal                      |         12
   remembered                   |         12
   regent                       |         12
   refracted                    |         12
   reflections                  |         12
   redirect                     |         12
   reckoning                    |         12
   receivers                    |         12
   reactive                     |         12
   raf                          |         12
   quasars                      |         12
   quartet                      |         12
   pupil                        |         12
   pulls                        |         12
   pulling                      |         12
   puerto                       |         12
   prototypes                   |         12
   problematic                  |         12
   priroda                      |         12
   presumably                   |         12
   presss                       |         12
   presently                    |         12
   preparations                 |         12
   prefixes                     |         12
   prefect                      |         12
   praised                      |         12
   pound                        |         12
   potatoes                     |         12
   postulate                    |         12
   postponed                    |         12
   posthumously                 |         12
   positioning                  |         12
   posed                        |         12
   portraits                    |         12
   popularly                    |         12
   plague                       |         12
   pivotal                      |         12
   pioneering                   |         12
   pilgrimage                   |         12
   phytoplankton                |         12
   photospheric                 |         12
   phoebe                       |         12
   phillips                     |         12
   phd                          |         12
   pharaoh                      |         12
   phantom                      |         12
   perturbed                    |         12
   peri                         |         12
   penwith                      |         12
   peculiarities                |         12
   peasant                      |         12
   patrol                       |         12
   parallels                    |         12
   panorama                     |         12
   pannonia                     |         12
   palestine                    |         12
   pagan                        |         12
   overlapping                  |         12
   overcast                     |         12
   outline                      |         12
   osce                         |         12
   orlyak                       |         12
   organometallic               |         12
   optically                    |         12
   onshore                      |         12
   oclock                       |         12
   observance                   |         12
   obligation                   |         12
   obama                        |         12
   null                         |         12
   novonikolayevsk              |         12
   novelists                    |         12
   novae                        |         12
   north-western                |         12
   nominative                   |         12
   nitrate                      |         12
   nikon                        |         12
   nice                         |         12
   neo-assyrian                 |         12
   negotiated                   |         12
   nationalities                |         12
   naked-eye                    |         12
   musician                     |         12
   multiples                    |         12
   mpi                          |         12
   motifs                       |         12
   mothers                      |         12
   mons                         |         12
   moldova                      |         12
   moldavia                     |         12
   mnsis                        |         12
   mitigate                     |         12
   miniature                    |         12
   milestone                    |         12
   migrating                    |         12
   mid-19th                     |         12
   microscope                   |         12
   michigan                     |         12
   mhz                          |         12
   metallurgy                   |         12
   melts                        |         12
   megawatt                     |         12
   medline                      |         12
   mechanically                 |         12
   mauritius                    |         12
   margin                       |         12
   margaret                     |         12
   marco                        |         12
   marcel                       |         12
   manuel                       |         12
   manifold                     |         12
   manifestation                |         12
   managing                     |         12
   magnesium                    |         12
   macmillan                    |         12
   lyndon                       |         12
   lune                         |         12
   lp                           |         12
   lorraine                     |         12
   longueau                     |         12
   long-duration                |         12
   logos                        |         12
   loan                         |         12
   lithosphere                  |         12
   licensed                     |         12
   libyan                       |         12
   leonid                       |         12
   leibniz                      |         12
   legs                         |         12
   legends                      |         12
   labels                       |         12
   lab                          |         12
   kilogram                     |         12
   kant                         |         12
   justinian                    |         12
   juno                         |         12
   jones                        |         12
   jonathan                     |         12
   jam                          |         12
   israels                      |         12
   iranians                     |         12
   ionians                      |         12
   internally                   |         12
   integrity                    |         12
   infinitesimal                |         12
   indoor                       |         12
   indies                       |         12
   indefinitely                 |         12
   increment                    |         12
   inconsistent                 |         12
   inaccurate                   |         12
   importer                     |         12
   iliad                        |         12
   igneous                      |         12
   hyades                       |         12
   hussein                      |         12
   huns                         |         12
   humidity                     |         12
   hughes                       |         12
   holders                      |         12
   hertzsprungrussell           |         12
   hellenic                     |         12
   helium-3                     |         12
   helena                       |         12
   hava                         |         12
   haiti                        |         12
   habitat                      |         12
   guards                       |         12
   grazing                      |         12
   graphic                      |         12
   gottfried                    |         12
   gilles                       |         12
   geoffrey                     |         12
   genuine                      |         12
   generals                     |         12
   garrison                     |         12
   gaps                         |         12
   gabriel                      |         12
   freedoms                     |         12
   four-year                    |         12
   fortune                      |         12
   foreign-born                 |         12
   forecasting                  |         12
   font                         |         12
   finnish                      |         12
   finest                       |         12
   fiber                        |         12
   fermi                        |         12
